customer_nr,mcc,hr_arvl_tusc,day_of_wk_arvl_tusc,mon_arvl_tusc,day_arvl_tusc,loc_arvl_tusc,hr_arvl_italy,day_of_wk_arvl_italy,mon_arvl_italy,day_arvl_italy,loc_arvl_italy,locs_outside_tuscany,unique_locs_outside_tuscany,start_lat,start_lon,end_lat,end_lon,hrs_in_italy,hrs_in_tusc,avg_lat,avg_lon,top_lat,top_lon,std_lat,std_lon,hrs_outside_tuscany,start_lat_tusc,start_lon_tusc,num_unique_loc_in_tusc,num_loc_in_tusc,num_unique_loc_in_italy,num_loc_in_italy,st_time,en_time,total_time,forest,water,river,park,arezzo,florence,grosseto,livorno,lucca,pisa,pistoia,siena,coast,num_attrs,country,label
8654479.0,216.0,10.0,3.0,11.0,1.0,3631302.0,8.0,3.0,11.0,1.0,2560582.0,593.0,282.0,45.852,12.963,45.7516,13.6683,103.0,98.0,41.180115,13.973581,40.8415,14.2188,1.728884,1.183512,5.0,44.0757,11.2259,65.0,83.0,347.0,676.0,1509524280000000000,1509897420000000000,5228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,1.0
8635312.0,216.0,19.0,3.0,11.0,1.0,3664601.0,14.0,3.0,11.0,1.0,38756032.0,487.0,229.0,45.9025,13.2966,45.2748,11.2923,129.0,112.0,44.440387,9.50339,44.3289,9.216,0.471542,1.113345,17.0,44.4481,9.9258,22.0,258.0,251.0,745.0,1509547920000000000,1510012740000000000,6997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
8635382.0,216.0,2.0,3.0,11.0,1.0,57080012.0,0.0,3.0,11.0,1.0,37742011.0,237.0,163.0,45.8597,13.214,45.7006,13.8342,117.0,111.0,44.057912,10.619921,44.0514,10.4233,0.493022,0.660755,6.0,44.0757,11.2259,235.0,1435.0,398.0,1672.0,1509494460000000000,1509916320000000000,4529.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,27.0,0.0,0.0,0.0,80.0,0.0,Hungary,2.0
8636078.0,216.0,9.0,4.0,11.0,2.0,3005092.0,9.0,4.0,11.0,2.0,3005092.0,0.0,0.0,43.4549,10.8105,43.7753,11.2558,24.0,24.0,43.726838,10.942842,43.8361,11.0432,0.158723,0.17838,0.0,43.4549,10.8105,29.0,32.0,29.0,32.0,1509614880000000000,1509702180000000000,1357.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
8636540.0,216.0,10.0,3.0,11.0,1.0,3631322.0,6.0,3.0,11.0,1.0,2655529.0,56.0,36.0,44.4928,11.3328,44.4902,11.3376,688.0,680.0,44.453997,11.328825,44.4902,11.3376,0.265771,0.058763,8.0,44.0931,11.2303,82.0,184.0,118.0,240.0,1509518160000000000,1511995920000000000,40535.0,0.0,0.0,0.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
8636607.0,216.0,9.0,4.0,11.0,2.0,3608928.0,9.0,4.0,11.0,2.0,3608928.0,6.0,4.0,43.5424,10.3362,43.7137,10.4215,130.0,130.0,43.620819,10.428564,43.5424,10.3362,0.108879,0.363271,0.0,43.5424,10.3362,187.0,605.0,191.0,611.0,1509616080000000000,1510085880000000000,6369.0,0.0,0.0,0.00033651466231614556,3.85375275996374e-06,0.0,142.0,0.0,3973.0,0.0,2167.0,0.0,0.0,0.0,12.0,Hungary,2.0
8651992.0,216.0,11.0,6.0,11.0,4.0,3652182.0,11.0,6.0,11.0,4.0,3032012.0,4.0,3.0,43.7714,11.254,42.4141,12.2417,10.0,5.0,43.257731,11.71466,42.7106,12.1703,0.39118,0.328977,5.0,43.7696,11.2597,9.0,17.0,12.0,21.0,1509795900000000000,1509833040000000000,580.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
8646135.0,216.0,19.0,3.0,11.0,1.0,3621376.0,16.0,3.0,11.0,1.0,37844012.0,296.0,182.0,45.8858,13.2535,45.9255,13.6126,31.0,19.0,44.176971,11.852125,43.3823,11.7629,1.047535,0.511994,12.0,43.9954,11.3653,70.0,313.0,252.0,609.0,1509553200000000000,1509665820000000000,868.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,1.0
8655312.0,216.0,14.0,4.0,11.0,2.0,3601903.0,10.0,4.0,11.0,2.0,57022011.0,4.0,4.0,43.8559,12.2262,43.6626,11.1845,20.0,16.0,43.425645,11.538954,43.3192,11.335,0.158154,0.331188,4.0,43.6283,12.1206,21.0,24.0,25.0,28.0,1509619680000000000,1509694260000000000,1155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,0.0,0.0,Hungary,0.0
8664826.0,216.0,14.0,4.0,11.0,2.0,3631302.0,13.0,4.0,11.0,2.0,2660099.0,10.0,9.0,44.724,11.5281,43.7215,11.2309,43.0,43.0,43.787908,11.252713,43.7714,11.254,0.279034,0.061917,0.0,44.0757,11.2259,24.0,35.0,33.0,45.0,1509628920000000000,1509786780000000000,2491.0,0.0,0.0,0.0003609383731508346,0.00018864204372224177,0.0,2491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
